run_id,subject,gc,workload,jdk,energy_j,runtime_s
run_1,PetClinic,Serial,2min,openjdk,454.178525,120.01
run_2,PetClinic,Serial,3min,openjdk,565.529924,180.01
run_3,PetClinic,Serial,5min,openjdk,778.434653,300.01
run_4,PetClinic,Serial,2min,oracle,458.474717,120.01
run_5,PetClinic,Serial,3min,oracle,563.237511,180.01
run_6,PetClinic,Serial,5min,oracle,785.846132,300.01
run_7,PetClinic,Parallel,2min,openjdk,450.263191,120.01
run_8,PetClinic,Parallel,3min,openjdk,556.118388,180.01
run_9,PetClinic,Parallel,5min,openjdk,759.4134,300.01
run_10,PetClinic,Parallel,2min,oracle,457.793262,120.01
run_11,PetClinic,Parallel,3min,oracle,635.123252,180.01
run_12,PetClinic,Parallel,5min,oracle,789.850883,300.01
run_13,PetClinic,G1,2min,openjdk,483.10881,120.01
run_14,PetClinic,G1,3min,openjdk,585.856776,180.01
run_15,PetClinic,G1,5min,openjdk,788.685237,300.01
run_16,PetClinic,G1,2min,oracle,479.751335,120.01
run_17,PetClinic,G1,3min,oracle,582.802219,180.01
run_18,PetClinic,G1,5min,oracle,780.815872,300.01
run_19,TodoApp,Serial,2min,openjdk,386.197193,120.01
run_20,TodoApp,Serial,3min,openjdk,474.514777,180.01
run_21,TodoApp,Serial,5min,openjdk,699.751016,300.01
run_22,TodoApp,Serial,2min,oracle,372.672935,120.01
run_23,TodoApp,Serial,3min,oracle,481.380848,180.01
run_24,TodoApp,Serial,5min,oracle,699.613016,300.01
run_25,TodoApp,Parallel,2min,openjdk,377.592173,120.01
run_26,TodoApp,Parallel,3min,openjdk,488.953277,180.01
run_27,TodoApp,Parallel,5min,openjdk,695.409475,300.01
run_28,TodoApp,Parallel,2min,oracle,376.120497,120.01
run_29,TodoApp,Parallel,3min,oracle,481.044545,180.01
run_30,TodoApp,Parallel,5min,oracle,698.886212,300.01
run_31,TodoApp,G1,2min,openjdk,379.47614,120.01
run_32,TodoApp,G1,3min,openjdk,480.221854,180.01
run_33,TodoApp,G1,5min,openjdk,688.292489,300.01
run_34,TodoApp,G1,2min,oracle,376.836133,120.01
run_35,TodoApp,G1,3min,oracle,496.388133,180.01
run_36,TodoApp,G1,5min,oracle,691.895202,300.01
run_37,ANDIE,Serial,2min,openjdk,255.069537,120.01
run_38,ANDIE,Serial,3min,openjdk,347.469936,180.01
run_39,ANDIE,Serial,5min,openjdk,560.504303,300.01
run_40,ANDIE,Serial,2min,oracle,246.093425,120.01
run_41,ANDIE,Serial,3min,oracle,347.140469,180.01
run_42,ANDIE,Serial,5min,oracle,561.29965,300.01
run_43,ANDIE,Parallel,2min,openjdk,239.821651,120.01
run_44,ANDIE,Parallel,3min,openjdk,351.687088,180.01
run_45,ANDIE,Parallel,5min,openjdk,559.607088,300.01
run_46,ANDIE,Parallel,2min,oracle,238.133851,120.01
run_47,ANDIE,Parallel,3min,oracle,348.86422,180.01
run_48,ANDIE,Parallel,5min,oracle,565.675859,300.01
run_49,ANDIE,G1,2min,openjdk,239.685849,120.01
run_50,ANDIE,G1,3min,openjdk,347.779139,180.01
run_51,ANDIE,G1,5min,openjdk,565.40468,300.01
run_52,ANDIE,G1,2min,oracle,240.81054,120.01
run_53,ANDIE,G1,3min,oracle,346.091094,180.01
run_54,ANDIE,G1,5min,oracle,565.283587,300.01
